x,y,conc
527320,187360,3.063653
527340,187360,3.03821
527360,187360,3.031508
527380,187360,3.028724
527400,187360,3.027768
527420,187360,3.027487
527440,187360,3.027655
527460,187360,3.028442
527480,187360,3.02968
527500,187360,3.031021
527520,187360,3.035972
527540,187360,3.040922
527560,187360,3.046677
527580,187360,3.052698
527600,187360,3.058527
527620,187360,3.064572
527640,187360,3.070848
527660,187360,3.077368
527680,187360,3.083844
527700,187360,3.090723
527720,187360,3.09805
527740,187360,3.10557
527760,187360,3.113103
527780,187360,3.121056
527800,187360,3.129592
527820,187360,3.140711
527840,187360,3.151186
527860,187360,3.160848
527880,187360,3.172142
527900,187360,3.183899
527920,187360,3.19592
527940,187360,3.209382
527960,187360,3.224901
527980,187360,3.243453
528000,187360,3.274279
528020,187360,3.424908
528040,187360,3.28905
528060,187360,3.287941
528080,187360,3.295862
528100,187360,3.307445
528120,187360,3.321919
528140,187360,3.340508
528160,187360,3.365122
528180,187360,3.401631
528200,187360,3.545888
528220,187360,3.528638
528240,187360,3.628265
528260,187360,3.991999
528280,187360,5.202039
528300,187360,3.826623
528320,187360,3.687814
528340,187360,3.752836
528360,187360,3.638788
528380,187360,3.657695
528400,187360,3.784293
528420,187360,3.808479
528440,187360,3.880323
528460,187360,3.934035
528480,187360,3.98311
528500,187360,4.095542
528520,187360,4.432775
528540,187360,5.565155
528560,187360,8.70838
526680,187340,3.879328
526700,187340,3.422966
526720,187340,3.308923
526740,187340,3.271258
526760,187340,3.180555
526780,187340,3.123453
526800,187340,3.095492
526820,187340,3.077358
526840,187340,3.065323
526860,187340,3.05795
526880,187340,3.05474
526900,187340,3.058295
526920,187340,3.063496
526940,187340,3.10666
526960,187340,3.074968
526980,187340,3.051342
527000,187340,3.048731
527020,187340,3.038648
527040,187340,3.032673
527060,187340,3.028383
527080,187340,3.025173
527100,187340,3.022774
527120,187340,3.021588
527140,187340,3.021459
527160,187340,3.022518
527180,187340,3.022979
527200,187340,3.031425
527220,187340,3.051708
527240,187340,3.158023
527260,187340,3.07792
527280,187340,3.093537
527300,187340,3.163431
527320,187340,3.054934
527340,187340,3.037108
527360,187340,3.031698
527380,187340,3.029434
527400,187340,3.028727
527420,187340,3.028593
527440,187340,3.028855
527460,187340,3.029683
527480,187340,3.030941
527500,187340,3.032284
527520,187340,3.037274
527540,187340,3.042256
527560,187340,3.048035
527580,187340,3.054131
527600,187340,3.059923
527620,187340,3.065911
527640,187340,3.072111
527660,187340,3.078564
527680,187340,3.084965
527700,187340,3.091784
527720,187340,3.099067
527740,187340,3.106554
527760,187340,3.114072
527780,187340,3.122004
527800,187340,3.130324
527820,187340,3.141442
527840,187340,3.15199
527860,187340,3.161831
527880,187340,3.173445
527900,187340,3.185775
527920,187340,3.198684
527940,187340,3.213795
527960,187340,3.232682
527980,187340,3.256554
528000,187340,3.308047
528020,187340,3.312013
528040,187340,3.285477
528060,187340,3.288029
528080,187340,3.295233
528100,187340,3.306012
528120,187340,3.32055
528140,187340,3.339921
528160,187340,3.366624
528180,187340,3.408375
528200,187340,3.565844
528220,187340,3.572504
528240,187340,3.761228
528260,187340,6.47316
528280,187340,3.971636
528300,187340,3.692133
528320,187340,3.615733
528340,187340,3.700106
528360,187340,3.617097
528380,187340,3.631705
528400,187340,3.711587
528420,187340,3.636481
528440,187340,3.654761
528460,187340,3.679629
528480,187340,3.707913
528500,187340,3.752693
528520,187340,3.8407
528540,187340,4.004158
528560,187340,4.004263
528580,187340,4.204739
528600,187340,4.689761
528620,187340,10.27162
526680,187320,3.696109
526700,187320,3.365783
526720,187320,3.244487
526740,187320,3.192439
526760,187320,3.158417
526780,187320,3.117239
526800,187320,3.090042
526820,187320,3.073615
526840,187320,3.064126
526860,187320,3.061438
526880,187320,3.062887
526900,187320,3.062349
526920,187320,3.123734
526940,187320,3.062781
526960,187320,3.049641
526980,187320,3.038446
527000,187320,3.032681
527020,187320,3.028516
527040,187320,3.025503
527060,187320,3.022817
527080,187320,3.020619
527100,187320,3.019058
527120,187320,3.018444
527140,187320,3.018646
527160,187320,3.019787
527180,187320,3.019778
527200,187320,3.025125
527220,187320,3.03758
527240,187320,3.106701
527260,187320,3.086708
527280,187320,3.19692
527300,187320,3.075695
527320,187320,3.048684
527340,187320,3.037308
527360,187320,3.033491
527380,187320,3.031751
527400,187320,3.031159
527420,187320,3.031015
527440,187320,3.031241
527460,187320,3.032019
527480,187320,3.033196
527500,187320,3.034461
527520,187320,3.039433
527540,187320,3.044403
527560,187320,3.050181
527580,187320,3.056279
527600,187320,3.062157
527620,187320,3.068106
527640,187320,3.074269
527660,187320,3.080685
527680,187320,3.087097
527700,187320,3.093929
527720,187320,3.101252
527740,187320,3.108805
527760,187320,3.116406
527780,187320,3.124413
527800,187320,3.132679
527820,187320,3.143935
527840,187320,3.154742
527860,187320,3.165027
527880,187320,3.177334
527900,187320,3.19088
527920,187320,3.205998
527940,187320,3.225192
527960,187320,3.263008
527980,187320,3.29915
528000,187320,3.387397
528020,187320,3.295909
528040,187320,3.300028
528060,187320,3.303651
528080,187320,3.301621
528100,187320,3.309001
528120,187320,3.323536
528140,187320,3.344286
528160,187320,3.373948
528180,187320,3.423944
528200,187320,3.684643
528220,187320,3.6676
528240,187320,4.174046
528260,187320,4.366467
528280,187320,3.761719
528300,187320,3.621071
528320,187320,3.58419
528340,187320,3.711167
528360,187320,3.543627
528380,187320,3.535746
528400,187320,3.630006
528420,187320,3.577917
528440,187320,3.574499
528460,187320,3.588249
528480,187320,3.613289
528500,187320,3.777572
528520,187320,3.734167
528540,187320,3.69844
528560,187320,3.733679
528580,187320,3.796184
528600,187320,3.902164
528620,187320,4.081742
528640,187320,4.297953
528660,187320,4.701071
528680,187320,9.016683
528700,187320,7.662426
526680,187300,3.653373
526700,187300,3.338169
526720,187300,3.224692
526740,187300,3.229425
526760,187300,3.187387
526780,187300,3.125007
526800,187300,3.087451
526820,187300,3.073664
526840,187300,3.067817
526860,187300,3.121457
526880,187300,3.115589
526900,187300,3.148306
526920,187300,3.092182
526940,187300,3.054019
526960,187300,3.039791
526980,187300,3.032804
527000,187300,3.028163
527020,187300,3.024684
527040,187300,3.022209
527060,187300,3.020075
527080,187300,3.018287
527100,187300,3.017033
527120,187300,3.016655
527140,187300,3.016965
527160,187300,3.018021
527180,187300,3.017576
527200,187300,3.021764
527220,187300,3.032271
527240,187300,3.06009
527260,187300,3.266172
527280,187300,3.101852
527300,187300,3.068685
527320,187300,3.052722
527340,187300,3.042361
527360,187300,3.03825
527380,187300,3.036831
527400,187300,3.035764
527420,187300,3.035286
527440,187300,3.035222
527460,187300,3.035685
527480,187300,3.036593
527500,187300,3.037633
527520,187300,3.042477
527540,187300,3.047361
527560,187300,3.053086
527580,187300,3.059135
527600,187300,3.065063
527620,187300,3.070976
527640,187300,3.077137
527660,187300,3.083548
527680,187300,3.08999
527700,187300,3.09689
527720,187300,3.104316
527740,187300,3.112001
527760,187300,3.119742
527780,187300,3.127872
527800,187300,3.136351
527820,187300,3.147683
527840,187300,3.158925
527860,187300,3.169963
527880,187300,3.183546
527900,187300,3.199483
527920,187300,3.221077
527940,187300,3.248041
527960,187300,3.410249
527980,187300,3.478066
528000,187300,3.314507
528020,187300,3.452733
528040,187300,3.386397
528060,187300,3.466231
528080,187300,3.308947
528100,187300,3.313609
528120,187300,3.329073
528140,187300,3.351589
528160,187300,3.384404
528180,187300,3.441252
528200,187300,3.646485
528220,187300,3.94675
528240,187300,7.084641
528260,187300,3.903258
528280,187300,3.660106
528300,187300,3.632457
528320,187300,3.556266
528340,187300,3.519022
528360,187300,3.501582
528380,187300,3.499705
528400,187300,3.517053
528420,187300,3.705655
528440,187300,3.546062
528460,187300,3.566386
528480,187300,3.667031
528500,187300,3.58231
528520,187300,3.585076
528540,187300,3.604395
528560,187300,3.630883
528580,187300,3.666752
528600,187300,3.715813
528620,187300,3.778058
528640,187300,3.851165
528660,187300,3.945969
528680,187300,4.086277
528700,187300,4.357132
528720,187300,4.894001
528740,187300,9.54331
526380,187280,3.03083
526400,187280,2.998226
526680,187280,3.637749
526700,187280,3.320705
526720,187280,3.209176
526740,187280,3.161946
526760,187280,3.176777
526780,187280,3.107339
526800,187280,3.087438
526820,187280,3.083611
526840,187280,3.07533
526860,187280,3.127444
526880,187280,3.104873
526900,187280,3.111303
526920,187280,3.069799
526940,187280,3.049072
526960,187280,3.037783
526980,187280,3.031124
527000,187280,3.026699
527020,187280,3.023367
527040,187280,3.020972
527060,187280,3.018947
527080,187280,3.017292
527100,187280,3.016148
527120,187280,3.015844
527140,187280,3.01615
527160,187280,3.017062
527180,187280,3.016229
527200,187280,3.019288
527220,187280,3.024757
527240,187280,3.033415
527260,187280,3.051625
527280,187280,3.188857
527300,187280,3.137355
527320,187280,3.057952
527340,187280,3.054974
527360,187280,3.050201
527380,187280,3.050355
527400,187280,3.044216
527420,187280,3.043142
527440,187280,3.041798
527460,187280,3.041249
527480,187280,3.041485
527500,187280,3.041979
527520,187280,3.046499
527540,187280,3.051178
527560,187280,3.056758
527580,187280,3.062685
527600,187280,3.068589
527620,187280,3.074423
527640,187280,3.080541
527660,187280,3.086954
527680,187280,3.093453
527700,187280,3.100493
527720,187280,3.108094
527740,187280,3.115988
527760,187280,3.123944
527780,187280,3.132268
527800,187280,3.14101
527820,187280,3.152491
527840,187280,3.164404
527860,187280,3.176679
527880,187280,3.192664
