x,y,conc
527640,187540,30.27952
527660,187540,31.2119
526820,187520,41.32021
526840,187520,35.40597
526860,187520,32.72856
526880,187520,31.48976
526900,187520,30.80792
526920,187520,30.37751
526940,187520,30.08613
526960,187520,29.8813
526980,187520,29.73482
527000,187520,29.62868
527020,187520,29.553
527040,187520,29.50294
527060,187520,29.47618
527080,187520,29.50624
527100,187520,29.80314
527120,187520,30.76964
527140,187520,30.47112
527160,187520,31.54904
527180,187520,31.18491
527200,187520,30.23085
527220,187520,30.09637
527240,187520,30.24887
527260,187520,30.24806
527280,187520,31.04536
527300,187520,30.37375
527320,187520,30.07355
527340,187520,29.93787
527360,187520,29.87702
527380,187520,29.80962
527400,187520,29.72479
527420,187520,29.63128
527440,187520,29.53879
527460,187520,29.45689
527480,187520,29.3834
527500,187520,29.31455
527520,187520,29.25651
527540,187520,29.21196
527560,187520,29.19585
527580,187520,29.21117
527600,187520,29.26913
527620,187520,29.38239
527640,187520,29.57712
527660,187520,29.90793
527680,187520,30.41538
527700,187520,31.01635
527720,187520,31.75622
527740,187520,32.44743
527760,187520,33.86393
527780,187520,34.18827
526800,187500,39.4178
526820,187500,34.44411
526840,187500,32.54469
526860,187500,31.44243
526880,187500,30.80041
526900,187500,30.32902
526920,187500,30.00563
526940,187500,29.7866
526960,187500,29.63118
526980,187500,29.52234
527000,187500,29.44612
527020,187500,29.39983
527040,187500,29.36998
527060,187500,29.36652
527080,187500,29.43717
527100,187500,30.87526
527120,187500,29.85896
527140,187500,29.75824
527160,187500,30.44722
527180,187500,29.93479
527200,187500,29.90636
527220,187500,29.8478
527240,187500,29.9247
527260,187500,29.98522
527280,187500,30.88912
527300,187500,30.1288
527320,187500,29.60945
527340,187500,29.43303
527360,187500,29.36729
527380,187500,29.31397
527400,187500,29.26244
527420,187500,29.21023
527440,187500,29.15829
527460,187500,29.11237
527480,187500,29.07218
527500,187500,29.03533
527520,187500,29.00698
527540,187500,28.98577
527560,187500,28.98418
527580,187500,28.99936
527600,187500,29.03847
527620,187500,29.10661
527640,187500,29.21068
527660,187500,29.35804
527680,187500,29.54147
527700,187500,29.74944
527720,187500,29.96838
527740,187500,30.18595
527760,187500,30.39399
527780,187500,30.56421
527800,187500,30.7749
527820,187500,31.04539
527840,187500,31.37631
527860,187500,31.74317
527880,187500,32.19607
527900,187500,32.79265
527920,187500,33.16092
527940,187500,34.39604
527960,187500,35.36334
527980,187500,39.02814
528000,187500,45.35766
526780,187480,37.84175
526800,187480,34.52893
526820,187480,32.35746
526840,187480,31.59008
526860,187480,30.80214
526880,187480,30.55208
526900,187480,30.08144
526920,187480,29.81508
526940,187480,29.63583
